ngram freq
changes_to_the_medicare 1
to_the_medicare_program 1
the_medicare_program_government-funded 1
medicare_program_government-funded_health 1
program_government-funded_health_insurance 1
government-funded_health_insurance_for 1
health_insurance_for_the 1
insurance_for_the_elderly 1
for_the_elderly_and 1
the_elderly_and_people 1
elderly_and_people_with 1
and_people_with_disabilities 1
about_percent_of_third 1
percent_of_third_federal's 1
of_third_federal's_lending 1
third_federal's_lending_portfolio 1
federal's_lending_portfolio_is 1
lending_portfolio_is_in 1
portfolio_is_in_home 1
is_in_home_equity 1
in_home_equity_lines 1
home_equity_lines_and 1
equity_lines_and_loans 1
lines_and_loans_in 1
and_loans_in_ohio 1
loans_in_ohio_and 1
in_ohio_and_florida 1
ohio_and_florida_states 1
and_florida_states_where 1
florida_states_where_home 1
states_where_home_values 1
where_home_values_are 1
home_values_are_falling 1
values_are_falling_as 1
are_falling_as_second 1
falling_as_second_mortgages 1
as_second_mortgages_the 1
second_mortgages_the_home-equity 1
mortgages_the_home-equity_products 1
the_home-equity_products_are 1
home-equity_products_are_riskier 1
products_are_riskier_for 1
are_riskier_for_banks 1
riskier_for_banks_to 1
for_banks_to_offer 1
banks_to_offer_than 1
to_offer_than_first 1
offer_than_first_mortgages 1
he_said_the_closest 1
said_the_closest_historical 1
the_closest_historical_precedent 1
closest_historical_precedent_to 1
historical_precedent_to_obama's 1
precedent_to_obama's_statement 1
to_obama's_statement_was 1
obama's_statement_was_the 1
statement_was_the_opposition 1
was_the_opposition_from 1
the_opposition_from_then-president 1
opposition_from_then-president_jimmy 1
from_then-president_jimmy_carter 1
then-president_jimmy_carter_and 1
jimmy_carter_and_his 1
carter_and_his_soon-to-be 1
and_his_soon-to-be_successor 1
his_soon-to-be_successor_ronald 1
soon-to-be_successor_ronald_reagan 1
successor_ronald_reagan_to 1
ronald_reagan_to_a 1
reagan_to_a_california 1
to_a_california_ballot 1
a_california_ballot_initiative 1
california_ballot_initiative_that 1
ballot_initiative_that_would 1
initiative_that_would_have 1
that_would_have_prevented 1
would_have_prevented_gays 1
have_prevented_gays_and 1
prevented_gays_and_lesbians 1
gays_and_lesbians_from 1
and_lesbians_from_teaching 1
lesbians_from_teaching_in 1
from_teaching_in_the 1
teaching_in_the_state's 1
in_the_state's_public 1
the_state's_public_schools 1
part_of_what_the 1
of_what_the_plans 1
what_the_plans_are 1
the_plans_are_is 1
plans_are_is_that 1
are_is_that_there 1
is_that_there_will 1
that_there_will_be 1
there_will_be_an 1
will_be_an_area 1
be_an_area_enshrined 1
an_area_enshrined_for 1
area_enshrined_for_north 1
enshrined_for_north_high 1
for_north_high_school 1
north_high_school_greenwald 1
high_school_greenwald_said 1
